Size_sqft,Bedrooms,Bathrooms,Location,YearBuilt,Price
2481.0,3.0,2,City,2012,676935.0
2208.0,3.0,3,Suburb,1968,551370.0
2485.0,4.0,3,Suburb,2005,542832.0
1011.0,4.0,3,Suburb,1966,749932.0
2264.0,3.0,2,Suburb,2003,644163.0
2673.0,1.0,2,Suburb,1973,854994.0
3467.0,4.0,2,Suburb,1965,402266.0
2052.0,3.0,1,City,1994,660383.0
1847.0,5.0,1,Suburb,2020,588256.0
2064.0,4.0,2,City,1983,627067.0
3068.0,3.0,2,City,1961,637243.0
2653.0,2.0,3,City,2010,756990.0
2044.0,4.0,1,Suburb,1990,635876.0
2783.0,2.0,1,City,1986,637382.0
2488.0,4.0,3,Suburb,1990,917592.0
3106.0,4.0,3,Suburb,2002,484659.0
1922.0,2.0,3,Suburb,2011,504264.0
2187.0,1.0,2,Suburb,1973,934451.0
2142.0,3.0,2,Suburb,2018,912768.0
1382.0,1.0,2,City,1979,400845.0
2629.0,1.0,2,Suburb,2011,976220.0
2605.0,3.0,2,City,1999,747601.0
2423.0,5.0,1,Suburb,2003,559416.0
2253.0,1.0,1,Suburb,1965,663781.0
1416.0,1.0,1,Suburb,2016,600205.0
2121.0,1.0,3,City,2017,663076.0
2177.0,5.0,1,City,1989,602322.0
1851.0,4.0,3,City,2011,490879.0
2305.0,2.0,1,City,1970,469773.0
2706.0,2.0,2,Suburb,2006,694432.0
3757.0,5.0,1,Suburb,1964,545966.0
2543.0,1.0,2,City,1962,454886.0
2602.0,2.0,2,City,1974,740669.0
2367.0,5.0,1,City,1961,739114.0
1060.0,3.0,1,City,1961,739196.0
2401.0,2.0,2,Suburb,2013,674357.0
2462.0,3.0,3,Suburb,2005,534854.0
4166.0,1.0,3,Suburb,2000,838895.0
2283.0,2.0,1,City,1989,791817.0
2633.0,5.0,2,City,2003,988835.0
2395.0,4.0,3,Suburb,1969,847198.0
1591.0,2.0,1,City,1989,709532.0
3230.0,2.0,1,City,2008,921198.0
2953.0,2.0,2,City,1994,673779.0
2980.0,2.0,3,Suburb,2024,674979.0
1775.0,5.0,1,City,1976,656054.0
3414.0,5.0,3,Suburb,1990,589306.0
1426.0,4.0,1,City,2011,988271.0
2836.0,5.0,1,City,1985,541513.0
3972.0,5.0,3,Suburb,1964,420685.0
1718.0,1.0,3,Suburb,1973,594818.0
2018.0,1.0,2,Suburb,2010,716370.0
2490.0,3.0,2,Suburb,1974,583914.0
2063.0,4.0,2,City,1971,611012.0
1321.0,1.0,2,City,2005,382189.0
2468.0,4.0,3,Suburb,2023,480365.0
1667.0,4.0,2,Suburb,2018,470301.0
2755.0,2.0,3,City,1985,785369.0
1768.0,4.0,1,City,1988,458219.0
3518.0,2.0,3,City,1963,567995.0
1864.0,3.0,2,Suburb,2009,635342.0
2191.0,3.0,3,Suburb,1984,505318.0
2996.0,3.0,3,City,1999,703318.0
1547.0,2.0,3,Suburb,1991,728744.0
2581.0,2.0,3,City,1996,876658.0
3346.0,3.0,3,Suburb,1969,663377.0
1280.0,2.0,2,Suburb,1997,353729.0
2550.0,5.0,3,City,2020,578621.0
2604.0,5.0,2,City,1986,621419.0
2974.0,2.0,1,Suburb,1966,851359.0
1543.0,2.0,3,City,1968,629596.0
1484.0,1.0,1,Suburb,2018,722507.0
2790.0,1.0,2,City,1995,618756.0
2630.0,4.0,3,City,1989,742120.0
2597.0,4.0,1,Suburb,1978,570726.0
2665.0,4.0,2,City,2000,418525.0
1938.0,3.0,1,Suburb,2014,278733.0
2584.0,5.0,3,Suburb,1965,737277.0
2627.0,3.0,3,Suburb,1981,710935.0
1913.0,2.0,3,Suburb,1983,721737.0
3742.0,1.0,2,City,2021,680347.0
2755.0,2.0,1,Suburb,2001,376329.0
1575.0,2.0,2,Suburb,1981,568482.0
2885.0,1.0,1,Suburb,1975,648298.0
1729.0,2.0,2,City,1972,556293.0
2977.0,4.0,3,Suburb,1996,746145.0
3241.0,1.0,1,Suburb,2011,640333.0
1838.0,2.0,1,City,1983,759164.0
3102.0,4.0,1,Suburb,1976,831825.0
2712.0,4.0,2,Suburb,1975,727833.0
3002.0,5.0,3,City,1960,687699.0
3764.0,4.0,1,Suburb,1960,470871.0
2246.0,3.0,2,Suburb,1989,671610.0
1885.0,1.0,1,City,1983,428657.0
1789.0,1.0,3,City,2005,486629.0
1841.0,1.0,1,City,1961,705320.0
2365.0,2.0,3,Suburb,1974,477985.0
2661.0,2.0,2,Suburb,1988,994547.0
2616.0,3.0,2,City,2021,796533.0
3006.0,4.0,3,Suburb,1972,670235.0
2429.0,2.0,3,City,2024,254478.0
3450.0,4.0,2,Suburb,2004,385577.0
2232.0,4.0,3,City,2006,996085.0
4348.0,2.0,3,City,1975,582883.0
2863.0,2.0,1,City,1962,835992.0
1812.0,3.0,2,Suburb,1964,586921.0
1661.0,5.0,2,City,1985,516948.0
2762.0,1.0,3,City,1974,507116.0
2261.0,2.0,3,Suburb,2014,438624.0
2926.0,2.0,3,City,1981,745907.0
2755.0,4.0,2,Suburb,1996,718599.0
2368.0,5.0,1,City,1988,583974.0
1819.0,2.0,2,City,1985,359604.0
1346.0,5.0,1,City,1970,626479.0
2103.0,1.0,3,City,1979,744917.0
3027.0,4.0,2,City,1992,985905.0
2571.0,3.0,1,City,1989,812759.0
1537.0,1.0,2,City,2009,691076.0
2542.0,5.0,1,Suburb,1993,539370.0
2693.0,5.0,1,City,1964,845195.0
1793.0,1.0,2,Suburb,1971,679728.0
2529.0,5.0,3,Suburb,2011,686114.0
2461.0,3.0,2,Suburb,2010,835583.0
1609.0,3.0,3,Suburb,1980,627388.0
2673.0,5.0,1,Suburb,2017,794095.0
2817.0,5.0,1,Suburb,2023,487492.0
3187.0,3.0,2,City,1965,558603.0
3167.0,5.0,2,City,2008,731907.0
1443.0,2.0,3,City,1996,654231.0
1755.0,4.0,3,City,1969,624956.0
2785.0,2.0,2,City,2015,489234.0
2784.0,5.0,3,Suburb,2004,803411.0
2785.0,5.0,3,Suburb,2023,421720.0
5150.0,4.0,2,Suburb,1975,791120.0
2824.0,5.0,2,City,1969,670427.0
3224.0,4.0,1,City,1980,672704.0
3096.0,3.0,1,City,1971,655750.0
2881.0,4.0,2,City,1972,536609.0
2196.0,4.0,1,Suburb,1969,657861.0
2958.0,2.0,3,Suburb,1972,716422.0
1872.0,5.0,2,City,1993,723218.0
2252.0,3.0,1,Suburb,2018,648374.0
2076.0,1.0,2,City,2008,646439.0
2478.0,4.0,1,City,1965,645359.0
4060.0,1.0,2,City,1971,625529.0
1096.0,5.0,3,Suburb,1988,405039.0
2906.0,4.0,1,Suburb,1985,586902.0
1277.0,1.0,2,Suburb,1975,511142.0
2085.0,2.0,3,City,2012,639300.0
3191.0,1.0,1,City,1978,528888.0
2465.0,2.0,1,City,2006,713394.0
1656.0,3.0,2,Suburb,1991,836666.0
1913.0,5.0,3,City,2020,616248.0
2901.0,1.0,2,City,1964,702768.0
1902.0,4.0,1,Suburb,2018,593821.0
2573.0,5.0,2,City,1961,647883.0
2452.0,1.0,2,Suburb,1961,861879.0
1958.0,4.0,3,Suburb,1962,437115.0
3939.0,4.0,3,City,2002,564425.0
2869.0,4.0,1,City,1964,678417.0
984.0,4.0,3,City,2009,638575.0
2552.0,1.0,2,City,1969,608152.0
1951.0,3.0,1,Suburb,1986,490495.0
3024.0,2.0,3,Suburb,1983,726198.0
1858.0,2.0,2,Suburb,1981,648220.0
2338.0,2.0,2,Suburb,1962,756954.0
2778.0,3.0,1,Suburb,1975,814859.0
3033.0,4.0,1,Suburb,1989,656849.0
1569.0,4.0,3,Suburb,2002,856750.0
2183.0,5.0,3,City,1963,815786.0
2083.0,2.0,3,City,1999,599186.0
1957.0,2.0,3,City,1975,877047.0
3671.0,4.0,1,City,1975,758875.0
2707.0,2.0,2,City,2014,849783.0
1526.0,4.0,2,City,1979,395687.0
3070.0,4.0,3,Suburb,2010,760968.0
3924.0,4.0,1,City,2016,708531.0
3151.0,1.0,3,City,2010,543567.0
1343.0,1.0,3,Suburb,1977,443930.0
2076.0,1.0,1,Suburb,2018,640987.0
3318.0,1.0,2,City,1987,670280.0
1918.0,3.0,2,Suburb,1987,576996.0
2734.0,5.0,3,City,1972,553330.0
2969.0,5.0,1,Suburb,1965,582710.0
1763.0,4.0,2,City,1988,564550.0
2377.0,2.0,2,City,1968,799062.0
500.0,1.0,1,City,1988,545569.0
1694.0,5.0,1,Suburb,1997,422522.0
2241.0,5.0,2,Suburb,2024,777832.0
1535.0,1.0,3,City,2015,796602.0
3577.0,3.0,3,Suburb,1989,645389.0
1406.0,3.0,2,Suburb,2018,498149.0
2108.0,5.0,3,City,2017,379527.0
2512.0,3.0,3,City,1969,668069.0
3441.0,1.0,1,Suburb,1980,737912.0
1402.0,5.0,1,Suburb,2015,544172.0
3244.0,1.0,1,City,1985,780209.0
2427.0,3.0,3,Suburb,1974,453730.0
1724.0,1.0,1,Suburb,1994,673431.0
2747.0,3.0,1,Suburb,1974,365683.0
2561.0,3.0,2,City,1965,524289.0
1994.0,1.0,1,Suburb,1987,406873.0
2469.0,3.0,2,Suburb,2022,745435.0
2146.0,4.0,3,City,1988,712833.0
2500.0,1.0,1,Suburb,2007,1020927.0
2889.0,4.0,2,City,2022,691374.0
3544.0,1.0,2,City,2017,600163.0
1542.0,3.0,2,City,1980,512232.0
3931.0,3.0,3,City,1981,807072.0
1036.0,5.0,1,City,1986,1049280.0
2312.0,5.0,3,City,2016,810462.0
2837.0,4.0,2,Suburb,1969,693926.0
2619.0,3.0,3,City,1981,673179.0
1978.0,5.0,3,Suburb,2003,424494.0
2272.0,3.0,2,City,1987,791574.0
2070.0,1.0,1,City,2009,558008.0
2002.0,5.0,1,Suburb,2010,487348.0
3022.0,4.0,3,City,1960,635619.0
2673.0,5.0,1,City,1993,549115.0
1928.0,3.0,2,City,1994,527943.0
3057.0,2.0,1,City,2020,591519.0
2637.0,2.0,3,Suburb,1989,386637.0
2996.0,3.0,2,City,1999,624905.0
2866.0,1.0,2,City,2024,698209.0
1832.0,5.0,2,City,1996,518331.0
2023.0,2.0,3,Suburb,2023,859898.0
2949.0,1.0,3,City,1960,579340.0
2852.0,3.0,1,City,1974,505425.0
2405.0,1.0,3,Suburb,1972,782388.0
2503.0,3.0,2,City,1988,672409.0
3325.0,5.0,3,Suburb,2014,859117.0
2000.0,1.0,3,Suburb,2004,897925.0
2807.0,5.0,1,Suburb,1963,461058.0
2276.0,1.0,2,Suburb,2023,988394.0
2265.0,3.0,1,Suburb,1974,319260.0
3198.0,3.0,1,City,2007,477600.0
3005.0,1.0,1,City,2015,467592.0
2996.0,3.0,2,Suburb,1974,860101.0
3345.0,4.0,1,City,1998,738851.0
2434.0,4.0,2,City,2019,703374.0
2903.0,5.0,1,Suburb,2003,310770.0
2200.0,4.0,1,Suburb,2002,659663.0
2649.0,4.0,2,City,1963,1019363.0
2327.0,2.0,3,City,2009,738339.0
2488.0,2.0,1,Suburb,1998,615016.0
2841.0,2.0,3,City,2013,821026.0
1840.0,2.0,1,Suburb,1982,684276.0
3903.0,3.0,3,Suburb,2019,589910.0
1707.0,5.0,3,Suburb,1994,563689.0
1559.0,5.0,3,City,2013,742246.0
3240.0,4.0,3,Suburb,2017,621868.0
2981.0,5.0,3,Suburb,2021,687402.0
2862.0,4.0,2,Suburb,2007,323331.0
2865.0,5.0,3,Suburb,1966,646979.0
2411.0,1.0,2,Suburb,2004,508022.0
1784.0,1.0,1,City,1972,814581.0
2473.0,5.0,2,City,2012,508175.0
1940.0,3.0,3,City,1998,551129.0
3111.0,4.0,2,Suburb,1977,465315.0
2315.0,5.0,3,City,1981,784142.0
1834.0,4.0,2,Suburb,1995,738549.0
2192.0,2.0,1,City,2012,502705.0
2712.0,5.0,3,City,1962,527640.0
2020.0,3.0,3,Suburb,2021,778852.0
1837.0,2.0,2,City,1988,961587.0
2592.0,5.0,2,City,1967,728444.0
2593.0,1.0,2,City,2005,830812.0
2060.0,5.0,2,Suburb,2015,624393.0
2086.0,1.0,2,City,2008,507696.0
2584.0,1.0,3,Suburb,2002,638501.0
1393.0,5.0,1,Suburb,1969,821699.0
1422.0,5.0,2,Suburb,1972,580215.0
1910.0,1.0,3,City,2016,612345.0
2268.0,4.0,1,City,1961,988176.0
2640.0,2.0,1,Suburb,2024,920799.0
3465.0,3.0,2,Suburb,2001,683922.0
3027.0,5.0,3,City,2017,835368.0
2306.0,2.0,3,City,1969,489209.0
2406.0,2.0,3,City,2022,760173.0
1709.0,4.0,3,City,2020,678595.0
2406.0,2.0,3,Suburb,1960,724591.0
2215.0,5.0,1,City,1985,466463.0
2648.0,2.0,1,Suburb,1964,436424.0
1833.0,5.0,1,Suburb,1994,581068.0
2788.0,5.0,3,City,1972,463177.0
3506.0,1.0,1,City,1986,524205.0
2343.0,4.0,1,City,1971,1040963.0
2704.0,3.0,2,City,2009,842996.0
2909.0,1.0,1,City,2018,713616.0
2135.0,3.0,2,City,1990,728779.0
2578.0,5.0,3,City,1996,723933.0
2429.0,1.0,3,Suburb,1961,635072.0
2489.0,2.0,3,Suburb,2024,710275.0
1872.0,2.0,3,City,1962,801393.0
2437.0,3.0,1,Suburb,1979,629252.0
2773.0,5.0,2,Suburb,1961,874018.0
3448.0,3.0,3,City,2001,627404.0
3100.0,4.0,3,Suburb,2002,517928.0
3946.0,2.0,2,City,1980,701324.0
1876.0,1.0,2,City,2004,634840.0
3038.0,1.0,2,Suburb,1979,625656.0
2550.0,1.0,2,City,2002,791624.0
3972.0,2.0,2,City,2009,609875.0
1847.0,5.0,1,City,2002,526574.0
1824.0,2.0,2,Suburb,1983,605925.0
1995.0,2.0,1,Suburb,2019,554881.0
914.0,1.0,2,City,1991,553232.0
2047.0,2.0,2,City,1964,806028.0
1882.0,1.0,3,Suburb,1961,513552.0
2526.0,5.0,3,Suburb,1985,680310.0
2662.0,4.0,3,City,1984,614420.0
3749.0,1.0,3,Suburb,2009,646907.0
3093.0,3.0,3,City,1998,365287.0
2011.0,4.0,3,Suburb,1970,757084.0
1783.0,5.0,2,Suburb,2022,621965.0
2768.0,4.0,2,Suburb,1977,804981.0
1484.0,1.0,3,Suburb,1987,721416.0
3718.0,5.0,3,City,2001,670063.0
3256.0,3.0,3,City,2019,664063.0
2087.0,1.0,2,Suburb,1981,990315.0
1205.0,1.0,3,City,1999,545596.0
3379.0,5.0,3,City,2021,705674.0
2338.0,5.0,2,Suburb,1962,697891.0
3297.0,4.0,2,Suburb,2022,427135.0
1289.0,3.0,1,City,1979,654375.0
1995.0,4.0,3,Suburb,1985,435323.0
2423.0,4.0,2,City,2000,653053.0
2453.0,1.0,1,Suburb,1962,425805.0
2101.0,5.0,2,City,2002,718715.0
2861.0,1.0,1,Suburb,1976,478827.0
1663.0,3.0,1,Suburb,2012,661243.0
2319.0,4.0,3,City,2011,425536.0
2505.0,3.0,3,Suburb,1992,732495.0
2784.0,5.0,1,City,2019,651497.0
2924.0,5.0,3,City,2015,636089.0
1622.0,2.0,2,Suburb,2023,683449.0
1332.0,3.0,2,Suburb,1967,739537.0
3325.0,1.0,1,Suburb,1992,537381.0
2655.0,3.0,1,Suburb,1984,660492.0
1889.0,4.0,2,City,1966,594827.0
3519.0,5.0,2,City,2018,853293.0
2502.0,5.0,1,Suburb,1992,603307.0
3255.0,3.0,2,City,2000,545407.0
2467.0,3.0,2,Suburb,1992,443070.0
3880.0,3.0,1,City,1988,623888.0
3664.0,4.0,3,Suburb,1998,561998.0
2243.0,4.0,2,Suburb,2016,715802.0
3108.0,1.0,3,City,2023,695438.0
2877.0,3.0,3,Suburb,1968,740613.0
3390.0,1.0,2,City,1988,478933.0
1736.0,2.0,3,Suburb,1987,263564.0
2906.0,4.0,1,City,2012,662837.0
3170.0,5.0,2,City,2005,783302.0
1173.0,2.0,2,City,1998,605445.0
1581.0,5.0,3,City,2017,923897.0
974.0,2.0,2,Suburb,2013,644934.0
2229.0,1.0,2,Suburb,1965,555418.0
2928.0,1.0,3,Suburb,2004,723850.0
3484.0,4.0,3,City,1999,864840.0
2472.0,5.0,2,Suburb,1982,656679.0
3574.0,2.0,2,Suburb,2001,773143.0
1441.0,3.0,1,Suburb,1997,601195.0
1212.0,3.0,1,Suburb,1975,604498.0
2380.0,4.0,2,City,2006,826482.0
2692.0,5.0,2,Suburb,1980,404055.0
2396.0,3.0,1,Suburb,1980,509644.0
954.0,4.0,3,City,1984,747842.0
2356.0,4.0,2,Suburb,2020,612757.0
1495.0,5.0,1,City,2013,706613.0
2894.0,3.0,1,Suburb,2019,740879.0
2679.0,3.0,2,City,2001,470312.0
1753.0,3.0,2,City,2020,469110.0
2055.0,1.0,1,Suburb,1991,831501.0
1669.0,3.0,2,Suburb,2012,606540.0
2375.0,2.0,3,Suburb,2003,564197.0
3097.0,1.0,2,Suburb,1970,717091.0
1721.0,1.0,1,Suburb,2006,806131.0
2777.0,1.0,1,Suburb,2019,776787.0
2044.0,1.0,2,City,1995,730483.0
1858.0,4.0,1,City,2019,832189.0
2344.0,2.0,3,City,1992,737465.0
1686.0,5.0,2,City,2001,581987.0
2027.0,3.0,2,Suburb,1972,701299.0
1571.0,1.0,1,City,1973,777478.0
3812.0,5.0,3,City,2017,544692.0
2445.0,4.0,2,City,1999,580018.0
1924.0,5.0,1,Suburb,2024,691795.0
2571.0,1.0,2,Suburb,1964,763433.0
2340.0,2.0,3,Suburb,1989,659581.0
2263.0,5.0,1,City,2004,700679.0
2855.0,1.0,2,Suburb,2017,299474.0
2957.0,1.0,1,City,1998,896743.0
2044.0,3.0,1,City,1971,776348.0
2011.0,3.0,3,City,1993,769356.0
2225.0,2.0,3,Suburb,1973,756854.0
788.0,3.0,2,Suburb,1997,769787.0
1346.0,2.0,1,Suburb,1975,866306.0
3388.0,4.0,1,City,2020,826535.0
3586.0,4.0,1,Suburb,2018,725556.0
2243.0,3.0,2,Suburb,1970,780743.0
2828.0,4.0,3,Suburb,1970,703572.0
2640.0,5.0,3,City,1975,551766.0
4602.0,5.0,1,City,1997,588697.0
3213.0,5.0,2,City,1989,601542.0
2329.0,4.0,1,City,2000,638120.0
1742.0,5.0,3,Suburb,1960,628273.0
1281.0,2.0,1,Suburb,1997,494177.0
2564.0,1.0,1,City,2019,693768.0
1884.0,3.0,1,Suburb,1978,770834.0
1412.0,2.0,3,City,2018,594933.0
1961.0,5.0,2,Suburb,1969,615551.0
1653.0,1.0,1,Suburb,1976,773244.0
3615.0,3.0,3,Suburb,1988,690665.0
3044.0,2.0,1,City,1965,791816.0
2414.0,3.0,2,Suburb,2022,770435.0
3469.0,4.0,1,Suburb,1990,547353.0
2474.0,5.0,2,Suburb,1984,696072.0
1809.0,2.0,3,Suburb,1980,750697.0
3499.0,2.0,2,City,1975,561185.0
2802.0,1.0,2,City,1963,492417.0
1684.0,1.0,3,City,2005,660298.0
2285.0,1.0,2,Suburb,1967,356253.0
1799.0,3.0,2,Suburb,1965,177672.0
1439.0,5.0,3,Suburb,2012,750796.0
3076.0,3.0,2,City,2023,551917.0
3773.0,5.0,2,City,2010,618863.0
1428.0,2.0,1,Suburb,2022,698230.0
2819.0,3.0,2,City,1965,657053.0
1958.0,3.0,2,City,2021,550872.0
2074.0,3.0,2,Suburb,1992,949428.0
2000.0,4.0,3,City,1961,651503.0
1807.0,5.0,2,Suburb,2000,1065921.0
2454.0,5.0,3,City,1975,525616.0
1831.0,3.0,3,City,2018,607911.0
2611.0,4.0,2,City,1968,666576.0
2384.0,3.0,2,City,1969,673868.0
2250.0,5.0,2,Suburb,1966,807692.0
1776.0,2.0,2,Suburb,1979,322519.0
2011.0,4.0,2,City,2022,886192.0
2955.0,4.0,2,Suburb,1963,388948.0
2775.0,3.0,2,City,1987,549364.0
1727.0,2.0,3,Suburb,1994,670558.0
2490.0,5.0,1,City,1961,722939.0
2952.0,1.0,3,Suburb,2000,633833.0
1236.0,5.0,2,City,1987,593030.0
2805.0,5.0,1,City,1960,664041.0
1950.0,2.0,1,Suburb,1986,604845.0
2824.0,4.0,2,City,1998,821365.0
1879.0,5.0,2,City,1999,764082.0
1140.0,4.0,3,City,1987,728278.0
1266.0,2.0,1,City,1983,812480.0
2454.0,2.0,1,Suburb,2010,713868.0
2604.0,3.0,2,Suburb,2015,628110.0
1779.0,1.0,2,City,1985,427845.0
2872.0,2.0,1,City,2011,935343.0
1242.0,2.0,1,Suburb,1965,827119.0
2373.0,4.0,2,Suburb,2018,486220.0
1561.0,2.0,2,City,1971,770022.0
1958.0,5.0,2,City,2022,730355.0
2453.0,3.0,3,Suburb,1995,525104.0
1810.0,3.0,3,City,1968,865465.0
2147.0,5.0,2,Suburb,1988,687147.0
3133.0,2.0,3,Suburb,1967,495186.0
2011.0,1.0,1,Suburb,2002,484995.0
3012.0,2.0,1,City,1994,723781.0
1619.0,3.0,2,Suburb,1981,523411.0
2795.0,1.0,1,Suburb,1980,555547.0
3441.0,4.0,1,City,2000,725048.0
668.0,4.0,1,Suburb,2000,566422.0
1855.0,2.0,1,Suburb,2008,594307.0
2829.0,2.0,1,Suburb,1963,547528.0
2276.0,1.0,3,Suburb,2024,761277.0
2683.0,1.0,3,Suburb,1969,844005.0
1992.0,2.0,2,Suburb,1969,413561.0
2481.0,3.0,1,City,1976,519132.0
2309.0,4.0,3,City,2012,334611.0
3247.0,1.0,3,City,1994,681471.0
2600.0,3.0,3,Suburb,1963,692925.0
2659.0,2.0,1,Suburb,1970,524163.0
2128.0,5.0,3,Suburb,2003,599147.0
2074.0,1.0,2,City,2019,729923.0
2113.0,5.0,2,City,2021,889850.0
2699.0,3.0,1,Suburb,1991,554861.0
2121.0,4.0,2,City,2005,678979.0
2625.0,3.0,3,City,1982,742775.0
3891.0,4.0,1,Suburb,1996,925672.0
3037.0,3.0,2,City,2017,721745.0
2189.0,1.0,1,City,2002,942024.0
3271.0,1.0,3,City,1974,452298.0
2130.0,5.0,2,City,1961,723191.0
975.0,3.0,3,Suburb,1964,623627.0
1705.0,3.0,2,Suburb,2012,659399.0
1094.0,5.0,1,City,2004,485376.0
2170.0,2.0,2,City,2000,841681.0
2433.0,3.0,2,City,2022,748044.0
3608.0,3.0,2,City,1991,694161.0
2651.0,3.0,1,Suburb,1961,412531.0
2264.0,2.0,2,Suburb,1969,796488.0
3007.0,1.0,3,City,2002,565817.0
852.0,5.0,1,City,2002,548384.0
2587.0,2.0,1,City,1982,442620.0
2966.0,4.0,3,City,2019,614281.0
1372.0,4.0,1,Suburb,1965,582142.0
3230.0,2.0,2,City,1972,859086.0
2660.0,2.0,1,City,1980,516263.0
2125.0,1.0,3,Suburb,2017,557907.0
2868.0,4.0,1,City,1987,576690.0
4029.0,5.0,3,Suburb,1967,543279.0
2549.0,3.0,1,Suburb,2017,468897.0
2596.0,3.0,3,City,1999,757878.0
2094.0,1.0,1,Suburb,1960,637688.0
1817.0,1.0,2,City,2024,584147.0
3008.0,4.0,3,City,1969,567756.0
1813.0,5.0,3,Suburb,2019,681353.0
2470.0,5.0,1,Suburb,1979,568828.0
2081.0,2.0,1,Suburb,2021,653017.0
2759.0,1.0,1,City,1972,732781.0
2656.0,3.0,2,City,2017,713316.0
3155.0,3.0,1,City,1996,873133.0
2058.0,4.0,3,City,1969,805984.0
2228.0,3.0,1,City,1962,711290.0
1726.0,5.0,2,Suburb,1993,718771.0
2105.0,5.0,1,Suburb,1993,949542.0
2687.0,1.0,1,Suburb,1989,546318.0
2956.0,4.0,3,City,1996,735670.0
1766.0,3.0,1,City,1993,536905.0
3036.0,1.0,2,City,1991,784835.0
3380.0,2.0,1,City,2017,756308.0
2713.0,2.0,1,City,1983,627096.0
3750.0,3.0,3,Suburb,1968,852662.0
1871.0,3.0,1,City,2000,671782.0
1537.0,3.0,3,Suburb,1983,712042.0
1159.0,5.0,3,City,1984,426802.0
3480.0,3.0,1,Suburb,1995,992249.0
2883.0,2.0,3,City,1967,512063.0
2380.0,3.0,3,City,2018,481231.0
2618.0,4.0,1,Suburb,1994,753791.0
1622.0,2.0,1,City,1997,688026.0
4153.0,4.0,2,City,1991,438924.0
2511.0,2.0,2,City,2010,537660.0
2497.0,1.0,3,Suburb,1987,603889.0
2934.0,2.0,3,Suburb,2015,554339.0
2761.0,2.0,1,City,1967,691674.0
2578.0,4.0,2,Suburb,2000,799052.0
